id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
33177362,"Modern, just renovated 2 bedroom in Jordaan!",91349969,Dan,,Centrum-West,52.38,4.88145,Entire home/apt,225,2,4,2019-05-02,1.40,1,11
33180317,Queen-sized bed – vegan food on request!,34178292,Jolien,,Noord-West,52.40318,4.9199,Private room,90,2,4,2019-05-19,1.30,1,0
33180772,Great location near by the vondelpark,13298456,Marjel,,De Baarsjes - Oud-West,52.36453,4.878,Entire home/apt,195,2,5,2019-06-24,1.90,1,21
33180808,Sunny apartment in Amsterdam West district,13291991,Danny,,De Baarsjes - Oud-West,52.36722,4.85648,Entire home/apt,140,3,2,2019-06-25,0.83,1,201
33182274,All-In Perfect located Jordaan house,22445605,Niels,,Centrum-West,52.37773,4.88126,Entire home/apt,250,3,0,,,1,0
33182545,Modern & bright apartment with amazing canal view,33793086,Joep,,Zuid,52.35211,4.84686,Entire home/apt,69,2,3,2019-05-28,1.14,1,0
33183786,Charming family apartment with private garden,99029,Floor,,Oostelijk Havengebied - Indische Buurt,52.36472,4.93956,Entire home/apt,140,2,7,2019-07-01,2.69,1,5
33184440,Luxurious Amsterdam Penthouse with waterview!,9578096,Iva,,IJburg - Zeeburgereiland,52.35617,4.99757,Entire home/apt,195,3,2,2019-06-02,0.77,1,38
33185264,Light & Spacious ground floor apt. in lovely East,35070084,Pim,,Oud-Oost,52.35976,4.92584,Entire home/apt,160,3,4,2019-06-14,3.00,1,0
33185579,Stijlvolle Amsterdamse benedenwoning met tuin!,17751896,Leny,,De Baarsjes - Oud-West,52.3614,4.86506,Entire home/apt,125,3,6,2019-05-27,2.09,2,0
33185777,Spacious room close to city centre,16920711,Esmee,,Westerpark,52.37505,4.86594,Private room,49,2,4,2019-05-26,1.11,1,0
33186938,3 Room Spacious Apartment In The Heart of De Pijp,249866874,Anders,,De Pijp - Rivierenbuurt,52.3544,4.89514,Entire home/apt,300,1,6,2019-07-06,1.78,1,28
33186988,Bright cozy apartment in beautiful Amsterdam West!,13493470,Colette,,De Baarsjes - Oud-West,52.36157,4.8648,Entire home/apt,77,2,8,2019-06-09,2.53,1,2
33192650,"Bright, roomy apartment next to the Amstel river",32983918,Lorenzo,,Oud-Oost,52.35904,4.90878,Entire home/apt,150,2,5,2019-06-30,2.54,1,6
33193262,Great family house in peaceful Amsterdam district,248486424,Lard,,Noord-West,52.41446,4.891,Entire home/apt,120,3,2,2019-04-18,0.69,1,17
33194028,Super Cute Apt with Garden #Hip Amsterdam West!,249923836,Mini,,De Baarsjes - Oud-West,52.37203,4.85145,Entire home/apt,80,9,1,2019-04-06,0.32,1,0
33194309, Raderboot Kapitein Anna,225067360,Ton,,Oud-Noord,52.40167,4.88995,Private room,176,1,0,,,2,169
33194870,BEST!!! City Centre Penthouse with Roof Terrace,150224358,Christian,,De Pijp - Rivierenbuurt,52.35735,4.89201,Entire home/apt,399,7,0,,,3,0
33202450,A beautiful designed apartment in Amsterdam,33681230,Bert,,Oostelijk Havengebied - Indische Buurt,52.36354,4.93451,Entire home/apt,195,2,6,2019-06-10,2.54,2,20
33205385,52m2 family app in trendy&central Amstrdm district,66602290,Martijn,,De Pijp - Rivierenbuurt,52.35756,4.88811,Entire home/apt,250,2,10,2019-06-16,5.26,1,0
33208164,Authentic attic room 1700s Jordaan canal apartment,3808355,Lisa,,Centrum-West,52.37536,4.88134,Private room,200,2,1,2019-03-24,0.28,4,36
33211190,Easily access by public transport,52257050,Hang,,Osdorp,52.35099,4.79812,Private room,150,2,6,2019-06-30,3.40,1,66
33211603,Stay in Sleeplab of the University of Amsterdam,250057490,Jaap,,Centrum-Oost,52.36328,4.91205,Entire home/apt,249,1,0,,,1,89
33214937,"Nice private room in De Pijp, we have a hot tub!",50436165,Dario,,De Pijp - Rivierenbuurt,52.35248,4.89912,Private room,90,3,8,2019-07-02,2.16,1,137
33215047,Lovely home with roof terrace in vibrant Oud West!,1464510,Michiel And Jane,,De Baarsjes - Oud-West,52.36794,4.86727,Entire home/apt,150,2,6,2019-05-12,1.94,120,0
33218281,Luxurious bedroom in atelier apartment (Jordaan),3808355,Lisa,,Centrum-West,52.37465,4.88102,Private room,280,2,0,,,4,6
33220211,The Classic Canal Loft,48703385,Rowan,,Centrum-West,52.37045,4.8793,Entire home/apt,200,2,10,2019-06-19,2.91,1,0
33223240,Cozy place in beautiful neighborhood,1253089,Alessandro,,Zuid,52.35383,4.84905,Private room,104,1,5,2019-06-23,1.76,1,22
33232836,"Bright, stylish 1BR apt.w/balcony near Westerpark",7122416,Lizzy,,Westerpark,52.38962,4.8794,Entire home/apt,175,2,6,2019-06-02,2.02,1,0
33233072,Cute and colorful apartment,250235197,Lian,,Geuzenveld - Slotermeer,52.37836,4.83498,Entire home/apt,95,3,5,2019-06-24,1.79,1,0
